weather_total_precipitation_mm,weather_rainy_days,weather_total_snowfall_cm,weather_days_below_freezing,weather_total_sunshine_hours,weather_days_pleasant_temp,weather_avg_daily_max_windspeed_ms,nearest_gas_station_distance_miles,nearest_gas_station_rating,nearest_gas_station_rating_count,competitors_count_4miles,competitor_1_google_rating,competitor_1_distance_miles,competitor_1_rating_count,distance_nearest_costco(5 mile),distance_nearest_walmart(5 mile),distance_nearest_target (5 mile),other_grocery_count_1mile,count_food_joints_0_5miles (0.5 mile),current_count,previous_count,client_id,street,city,zip,site_client_id,location_id,_match_type,age_on_30_sep_25,region,state,region_enc,state_enc,costco_enc,tunnel_count,carwash_type_encoded,primary_carwash_type,official_website,Address,latitude,longitude
1107.6,115.0,49.49,83.0,2999.728453,122.0,17.71065574,0.48,3.8,48,9.0,3.7,1.47,200.0,1.28,,1.52,,1.0,56121.02,44690.0,Staten Island Auto Bath Inc,1531 ARTHUR KILL RD,STATEN ISLAND,10312,1327,1,chain+street+zip,11.0,Northeast,NY,1,28,1.28,0,1,Express Tunnel,https://businessyab.com/explore/united_states/new_york/richmond_county/staten_island/arden_heights/arthur_kill_road/1531/si-auto-bath-718-227-3414.html,"Staten Island Auto Bath Inc, 1531 ARTHUR KILL RD, STATEN ISLAND, NY, 10312",40.562927,-74.191078
1099.8,87.0,2.8,25.0,3425.410283,150.0,21.26803279,0.08,3.1,63,12.0,4.5,0.1,246.0,,3.39,3.72,,3.0,95697.62,76779.0,Scarborough Car Wash,1448 FM 66,Waxahachie,75165,1214,1,chain+street+zip,2.0,South,TX,2,37,99.0,0,1,Express Tunnel,https://scarboroughcarwashtx.com/,"Scarborough Car Wash, 1448 FM 66, Waxahachie, TX, 75165",32.3736953,-96.8658301
1345.5,155.0,0.0,0.0,3607.955919,170.0,15.1784153,0.65,4.0,247,15.0,4.7,0.09,376.0,4.64,4.66,1.89,3.0,16.0,280999.48,231897.0,Express Wash,445 Florida Central Pkwy,Longwood,32750,483,4,chain+street+zip,2.0,South,FL,2,7,4.64,2,1,Express Tunnel,https://expresswashcarwash.com/,"Express Wash, 445 Florida Central Pkwy, Longwood, FL, 32750",28.697175,-81.352502
1201.6,142.0,21.7,67.0,3239.367369,153.0,16.85054645,0.55,4.6,18,12.0,5.0,0.32,50.0,,1.23,2.27,2.0,7.0,100521.0,81938.0,TruShine,2227 Fort Henry Dr,Kingsport,37664,1460,5,chain+street+zip,4.0,South,TN,2,36,99.0,0,1,Express Tunnel,https://www.trushinecarwash.com/,"TruShine, 2227 Fort Henry Dr, Kingsport, TN, 37664",36.5267252,-82.5205922
1159.8,113.0,11.83,49.0,3213.250675,152.0,16.86147541,0.09,4.1,36,7.0,3.1,1.06,29.0,,1.61,2.56,1.0,3.0,160146.79,129829.0,Riptide,13150 Falls of Neuse Rd,Raleigh,27614,1162,1,chain+street+zip,3.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 13150 Falls of Neuse Rd, Raleigh, NC, 27614",35.941183,-78.561212
1022.5,118.0,5.11,22.0,3388.750042,160.0,14.63825137,0.29,1.0,2,8.0,4.8,0.1,452.0,,2.18,,4.0,7.0,222059.85,194388.0,FoamWorks Express,5551 Thomaston Rd.,Macon,31220,510,9,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://foamworkscarwash.com/,"FoamWorks Express, 5551 Thomaston Rd., Macon, GA, 31220",32.834051,-83.741715
779.2,120.0,99.61,132.0,2819.164392,121.0,18.69453552,0.14,3.0,23,6.0,4.1,1.77,135.0,4.52,,4.78,2.0,6.0,134358.0,109882.0,Planet Oil,6380 Sashabaw Rd,Clarkston,48346,1109,1,chain+street+zip,2.0,Midwest,MI,0,17,4.52,1,1,Express Tunnel,https://planetoilchangecenters.com/,"Planet Oil, 6380 Sashabaw Rd, Clarkston, MI, 48346",42.7323114,-83.3787556
1169.1,132.0,8.61,45.0,3357.528828,170.0,16.8773224,0.18,5.0,1,13.0,4.1,0.56,279.0,,0.43,1.73,5.0,14.0,228656.71,185018.0,Aqua Breeze Car Wash,150 E Felton Rd,Cartersville,30120,27,1,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://aquabreezecarwash.com/breeze-membership,"Aqua Breeze Car Wash, 150 E Felton Rd, Cartersville, GA, 30120",34.197314,-84.791942
1215.4,119.0,31.08,53.0,3125.555222,146.0,17.23825137,0.29,3.8,26,9.0,4.4,0.89,161.0,,1.53,,1.0,4.0,117340.0,110006.0,Vortex Car Wash,150 Jonathans Way,Suffolk,23434,1513,1,chain+street+zip,2.0,South,VA,2,39,99.0,0,1,Express Tunnel,http://vortexcarwash.mywashaccount.com/,"Vortex Car Wash, 150 Jonathans Way, Suffolk, VA, 23434",36.768347,-76.583762
874.4,114.0,87.36,95.0,3067.360228,118.0,20.43387978,0.17,4.4,9,12.0,4.1,0.08,579.0,,0.98,,2.0,2.0,351017.32,286003.0,Tsunami Car Wash,3105 Willowcreek Rd,Portage,46368,1485,8,chain+street+zip,2.0,Midwest,IN,0,11,99.0,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/,"Tsunami Car Wash, 3105 Willowcreek Rd, Portage, IN, 46368",41.562374,-87.181707
1095.9,121.0,10.08,49.0,3211.292197,150.0,16.28060109,0.06,4.2,24,11.0,,0.74,,2.94,0.81,3.64,2.0,6.0,162939.22,133050.0,American Pride,3810 New Bern Ave,Raleigh,27610,20,5,chain+street+zip,2.0,South,NC,2,21,2.94,1,1,Express Tunnel,https://americanpridexpress.com/,"American Pride, 3810 New Bern Ave, Raleigh, NC, 27610",35.7978173,-78.5746952
851.0,123.0,80.85,121.0,2890.283664,123.0,16.9863388,0.59,2.0,1,10.0,4.4,0.97,159.0,1.95,1.14,2.14,4.0,0.0,57442.36,47001.0,Mega Shine,18282 E Thirteen Mile Rd,Roseville,48066,1012,1,chain+street+zip,2.0,Midwest,MI,0,17,1.95,0,3,Full Service,https://megashine.us/contact/,"Mega Shine, 18282 E Thirteen Mile Rd, Roseville, MI, 48066",42.524083,-82.932483
980.2,122.0,5.67,42.0,3337.676069,169.0,17.94453552,0.34,4.5,44,9.0,,0.09,,,3.56,,4.0,4.0,301245.39,265549.0,Sonic Suds,2836 Woodruff Rd,Simpsonville,29681,1271,4,chain+street+zip,2.0,South,SC,2,34,99.0,2,1,Express Tunnel,http://sonicsuds.mywashaccount.com/,"Sonic Suds, 2836 Woodruff Rd, Simpsonville, SC, 29681",34.8066415,-82.2228338
771.6,87.0,50.12,101.0,3236.896039,120.0,20.78907104,2.53,3.8,63,6.0,3.5,2.43,17.0,4.33,2.06,2.56,,0.0,44301.76,36353.0,Soapatopia,6930 S. 73rd Street,Lincoln,68516,1259,1,chain+street+zip,4.0,Midwest,NE,0,23,4.33,0,1,Express Tunnel,https://soapatopiacarwash.com/,"Soapatopia, 6930 S. 73rd Street, Lincoln, NE, 68516",40.7112018,-96.6212759
1368.0,137.0,96.18,133.0,2865.245406,123.0,17.05163934,1.0,4.1,7,3.0,4.6,1.29,31.0,,3.71,3.54,,0.0,37508.11,32469.06,Saratoga Honda,3402 US-9,Saratoga Springs,12866,1212,1,chain+street+zip,2.0,Northeast,NY,1,28,99.0,0,3,Full Service,https://saratogahonda.com/,"Saratoga Honda, 3402 US-9, Saratoga Springs, NY, 12866",43.0575753,-73.7867377
1118.4,121.0,9.45,38.0,3354.166642,174.0,18.1568306,0.19,4.4,13,9.0,4.1,0.21,31.0,,2.75,4.71,4.0,3.0,162352.09,159029.0,Wow Car Wash,242 N Broad St,Winder,30680,1637,3,chain+street+zip,2.0,South,GA,2,8,99.0,1,2,Flex,https://wowwashcarwash.com/location-roscoe/,"Wow Car Wash, 242 N Broad St, Winder, GA, 30680",34.001983,-83.710792
1211.8,169.0,0.0,0.0,3712.135825,187.0,18.13797814,0.17,3.3,19,5.0,4.4,0.18,673.0,,0.1,,,3.0,211002.71,181010.0,Pelican Car Wash,13020 US-1,Sebastian,32958,1103,1,chain+street+zip,2.0,South,FL,2,7,99.0,1,1,Express Tunnel,https://www.pelicancarwash.com/services-packages-1,"Pelican Car Wash, 13020 US-1, Sebastian, FL, 32958",27.8307813,-80.4801545
1066.8,115.0,10.22,52.0,3233.325506,163.0,16.01120219,0.17,3.8,32,4.0,4.8,2.93,1193.0,,3.41,2.43,1.0,1.0,68016.43,55688.0,Rocket Wash 2,1207 M.L.K. Jr Blvd,Chapel Hill,27514,1196,5,chain+street+zip,3.0,South,NC,2,21,99.0,0,1,Express Tunnel,https://rocketcarwashexpress.com/,"Rocket Wash 2, 1207 M.L.K. Jr Blvd, Chapel Hill, NC, 27514",35.9470031,-79.0590484
858.0,197.0,0.0,0.0,3864.680272,36.0,16.34016393,0.42,4.2,157,13.0,5.0,1.52,1.0,1.25,1.11,0.78,3.0,5.0,62507.39,52371.43,Hitech Autocare,1675 Ave Victor M Labiosa,San Juan,926,629,1,chain+street+zip,7.0,South,FL,2,7,1.25,0,1,Express Tunnel,https://hitechautocarepr.com/en/,"Hitech Autocare, 1675 Ave Victor M Labiosa, San Juan, FL, 926",18.3682945,-66.0518587
489.2,49.0,1.47,0.0,3682.932603,212.0,12.26202186,0.56,3.8,86,12.0,3.4,0.41,196.0,2.65,0.49,1.83,2.0,13.0,344533.0,285641.0,Stevens Creek Xpress,3655 Stevens Creek Blvd,Santa Clara,95051,1330,1,chain+street+zip,2.0,West,CA,4,3,2.65,2,1,Express Tunnel,https://stevenscreekxpress.mywashaccount.com/,"Stevens Creek Xpress, 3655 Stevens Creek Blvd, Santa Clara, CA, 95051",37.3239942,-121.964776
1010.8,117.0,10.64,51.0,3216.166969,152.0,15.85163934,0.53,4.7,53,4.0,4.5,1.86,730.0,4.49,2.89,0.54,,10.0,297808.62,246528.0,Riptide,3639 Durham-Chapel Hill Blvd,Durham,27707,1153,3,chain+street+zip,3.0,South,NC,2,21,4.49,2,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 3639 Durham-Chapel Hill Blvd, Durham, NC, 27707",35.9704533,-78.9508619
1063.4,118.0,5.95,47.0,3355.012353,166.0,18.52568306,0.31,4.3,120,6.0,4.4,0.33,74.0,,0.65,,1.0,13.0,314319.06,261514.0,Papa Bear,5260 Calhoun Memorial Hwy,Easley,29640,1094,3,chain+street+zip,3.0,South,SC,2,34,99.0,2,1,Express Tunnel,https://papasbear.com/collections/all-products,"Papa Bear, 5260 Calhoun Memorial Hwy, Easley, SC, 29640",34.8260102,-82.5614855
1363.0,118.0,22.4,44.0,3257.375356,140.0,18.41666667,0.03,4.1,90,7.0,4.5,1.56,923.0,,0.18,,1.0,1.0,156106.46,129895.0,Century Car Wash,620 W Service Rd,West Memphis,72301,278,7,chain+street+zip,2.0,South,AR,2,1,99.0,1,1,Express Tunnel,https://centurycarwash.mywashaccount.com/,"Century Car Wash, 620 W Service Rd, West Memphis, AR, 72301",35.167333,-90.197093
1076.2,141.0,0.0,0.0,3613.925581,160.0,15.71967213,0.48,3.8,55,10.0,4.7,0.23,656.0,,0.54,,2.0,20.0,273078.72,228523.0,Bubble Down,10737 Big Bend Rd,Riverview,33579,240,4,chain+street+zip,2.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://bubbledown.com/,"Bubble Down, 10737 Big Bend Rd, Riverview, FL, 33579",27.7919407,-82.3297342
950.5,134.0,11.55,70.0,3317.548331,174.0,19.61065574,0.02,1.0,6,10.0,4.7,0.11,137.0,,3.53,0.71,6.0,1.0,114837.96,95584.0,Mountain Express,821 Shepherd St,Hendersonville,28792,1039,1,chain+street+zip,2.0,South,NC,2,21,99.0,0,1,Express Tunnel,,"Mountain Express, 821 Shepherd St, Hendersonville, NC, 28792",35.2980063,-82.4374345
922.3,139.0,13.86,60.0,3292.746392,176.0,14.18360656,0.38,4.6,219,5.0,4.5,0.46,216.0,,1.63,,1.0,9.0,132154.13,111042.0,Jet Express Franklin,1121 Georgia Rd,Franklin,28734,645,1,chain+street+zip,4.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.jetexpresscarwash.com/copy-of-location,"Jet Express Franklin, 1121 Georgia Rd, Franklin, NC, 28734",35.158971,-83.392801
859.1,105.0,6.79,49.0,3275.117575,164.0,17.41174863,0.43,3.8,55,13.0,4.5,0.09,424.0,,0.6,1.46,,11.0,315885.22,265542.0,Riptide,3711 E Franklin Blvd,Gastonia,28056,1155,5,chain+street+zip,3.0,South,NC,2,21,99.0,2,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 3711 E Franklin Blvd, Gastonia, NC, 28056",35.2569432,-81.1146928
1095.2,121.0,9.03,53.0,3229.75245,149.0,16.67431694,0.09,3.2,51,10.0,4.7,0.84,384.0,2.94,1.68,1.29,2.0,2.0,239099.47,204379.0,Heroes Car Wash,1370 NW Maynard Rd,Cary,27513,626,9,chain+street+zip,2.0,South,NC,2,21,2.94,1,1,Express Tunnel,https://www.heroescarwashusa.com/,"Heroes Car Wash, 1370 NW Maynard Rd, Cary, NC, 27513",35.787114,-78.809254
1033.9,116.0,87.78,116.0,2981.593786,119.0,19.06393443,0.32,4.0,53,13.0,4.0,0.56,7.0,,3.08,0.61,10.0,4.0,299211.1,275306.0,Haffners,69 Parker St,Lawrence,1843,599,1,chain+street+zip,8.0,Northeast,MA,1,15,99.0,2,1,Express Tunnel,https://www.haffners.com/car-washes,"Haffners, 69 Parker St, Lawrence, MA, 1843",42.698583,-71.159571
1388.5,135.0,50.33,84.0,3067.748956,138.0,19.77923497,0.16,2.1,11,2.0,3.9,0.12,56.0,,,,3.0,14.0,21767.78,18109.66,V Express Car Wash,479 Lexington Rd,Versailles,40383,1495,1,chain+street+zip,13.0,South,KY,2,13,99.0,0,1,Express Tunnel,https://carwashfind.com/directory/kentucky/versailles/v-express-car-wash/,"V Express Car Wash, 479 Lexington Rd, Versailles, KY, 40383",38.05137,-84.71597
1340.9,175.0,0.0,0.0,3666.198964,157.0,15.39918033,0.08,4.2,131,14.0,5.0,1.36,86.0,2.9,0.15,3.31,1.0,9.0,262959.67,220380.0,Waters Car Wash,2755 10th Ave N,Palm Springs,33461,1594,3,chain+street+zip,4.0,South,FL,2,7,2.9,2,1,Express Tunnel,http://waterscarwash.mywashaccount.com/,"Waters Car Wash, 2755 10th Ave N, Palm Springs, FL, 33461",26.6289371,-80.0848896
1195.4,132.0,48.02,71.0,3107.481444,141.0,15.88989071,0.09,3.3,3,3.0,4.6,1.33,7.0,,0.18,,3.0,10.0,81769.77,69361.21,Sunny Daze Car Wash,609 N Mayo Trl,Paintsville,41240,1364,1,chain+street+zip,2.0,South,KY,2,13,99.0,0,1,Express Tunnel,https://www.sunnydazecarwash.com/,"Sunny Daze Car Wash, 609 N Mayo Trl, Paintsville, KY, 41240",37.8251777,-82.8230267
1164.3,125.0,38.64,87.0,3033.976036,132.0,19.00655738,0.39,3.9,32,13.0,4.5,0.35,263.0,1.3,3.91,1.09,,1.0,211295.38,178791.0,Carroll Clean Car Wash,11260 Dolfield Blvd,Owings Mills,21117,274,1,chain+street+zip,2.0,South,MD,2,16,1.3,1,1,Express Tunnel,https://www.carrollcleancarwash.com/,"Carroll Clean Car Wash, 11260 Dolfield Blvd, Owings Mills, MD, 21117",39.4188261,-76.8088723
373.9,63.0,40.6,102.0,3870.076203,148.0,24.19590164,0.28,3.3,46,15.0,3.1,0.1,370.0,,1.0,0.2,4.0,18.0,31545.37,27408.33,Squeaky Clean Car Wash 2,3931 Cerrillos Rd,Santa Fe,87507,1321,1,chain+street+zip,11.0,West,NM,4,26,99.0,0,1,Express Tunnel,https://squeakycleancarwash.com/m/login,"Squeaky Clean Car Wash 2, 3931 Cerrillos Rd, Santa Fe, NM, 87507",35.642658,-106.013367
1152.7,103.0,30.73,70.0,3237.675714,148.0,18.18469945,0.35,3.0,4,11.0,3.5,0.21,92.0,2.66,0.26,3.69,2.0,14.0,150402.78,138136.0,Blue Iguana,2118 E Kearney St,Springfield,65803,93,4,chain+street+zip,2.0,Midwest,MO,0,18,2.66,1,1,Express Tunnel,https://blueiguana.com/,"Blue Iguana, 2118 E Kearney St, Springfield, MO, 65803",37.2394114,-93.2540638
763.5,93.0,67.62,127.0,3073.948156,117.0,20.05,0.4,4.0,60,2.0,3.7,0.31,33.0,,0.64,,4.0,7.0,122456.68,104119.24,Roadrunner,811 S Rochester St,Mukwonago,53149,1181,1,chain+street+zip,3.0,Midwest,WI,0,43,99.0,1,1,Express Tunnel,https://roadrunnercarwash.com/,"Roadrunner, 811 S Rochester St, Mukwonago, WI, 53149",42.855856,-88.32707
1148.4,133.0,9.03,41.0,3332.366514,167.0,16.18661202,0.4,4.0,19,12.0,,1.62,,2.35,1.56,2.0,4.0,14.0,137958.2,117311.0,Zips Express Car Wash,2907 Eagle Dr,Woodstock,30189,1657,1,chain+street+zip,3.0,South,GA,2,8,2.35,1,1,Express Tunnel,https://zipscarwash.com/,"Zips Express Car Wash, 2907 Eagle Dr, Woodstock, GA, 30189",34.1130096,-84.5571337
1149.3,110.0,31.29,68.0,3254.293144,149.0,18.27377049,0.16,4.1,123,11.0,4.3,0.08,534.0,,0.96,1.25,3.0,9.0,185613.49,158137.0,Blue Iguana,4304 S Fremont Ave,Springfield,65804,91,5,chain+street+zip,3.0,Midwest,MO,0,18,99.0,1,1,Express Tunnel,https://blueiguana.com/,"Blue Iguana, 4304 S Fremont Ave, Springfield, MO, 65804",37.1351509,-93.2720378
887.9,119.0,0.0,0.0,3667.379147,165.0,17.25546448,0.31,3.0,226,12.0,4.8,1.18,52.0,,0.11,,3.0,5.0,387263.58,331679.0,Woodies,3401 34th St S,St. Petersburg,33711,1623,3,chain+street+zip,4.0,South,FL,2,7,99.0,3,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 3401 34th St S, St. Petersburg, FL, 33711",27.7368325,-82.6800166
1036.1,119.0,1.26,14.0,3348.811961,139.0,17.0726776,0.03,2.5,4,6.0,3.5,0.51,21.0,,0.39,0.85,4.0,12.0,175981.27,150790.0,Clean,1020 Pear Drive,Huntsville,77320,316,2,chain+street+zip,2.0,South,TX,2,37,99.0,1,1,Express Tunnel,https://cleancw.com/,"Clean, 1020 Pear Drive, Huntsville, TX, 77320",30.718925,-95.567665
1753.8,167.0,7.56,9.0,3469.535386,147.0,18.61885246,0.49,3.9,74,11.0,,0.21,,,1.72,1.43,,9.0,256607.0,239557.0,JJscarwash,404 FM 517 W,Dickinson,77539,651,4,chain+street+zip,2.0,South,TX,2,37,99.0,2,1,Express Tunnel,https://jjscarwash.com/,"JJscarwash, 404 FM 517 W, Dickinson, TX, 77539",29.445288,-95.084071
1046.5,137.0,9.59,38.0,3355.375392,171.0,15.84535519,0.36,3.8,47,12.0,4.7,0.81,133.0,1.39,2.29,,5.0,8.0,106376.53,88705.07,Mr Clean Car Wash,1382 Pleasant Hill Rd,Lawrenceville,30044,1060,13,chain+street+zip,2.0,South,GA,2,8,1.39,0,1,Express Tunnel,https://www.mrcleancarwash.com/,"Mr Clean Car Wash, 1382 Pleasant Hill Rd, Lawrenceville, GA, 30044",33.938408,-84.120367
1064.0,118.0,86.87,118.0,2991.327881,122.0,18.50273224,0.06,4.2,183,12.0,4.4,1.46,367.0,,3.32,2.83,6.0,3.0,100461.0,86862.0,Haffners,1150 Bridge St,Lowell,1850,603,7,chain+street+zip,8.0,Northeast,MA,1,15,99.0,0,1,Express Tunnel,https://www.haffners.com/car-washes,"Haffners, 1150 Bridge St, Lowell, MA, 1850",42.663587,-71.303932
1139.0,156.0,130.9,125.0,2846.278817,117.0,22.2136612,0.11,3.9,19,0.0,,,,4.2,,,1.0,2.0,45900.4,39476.1,Seaway Car Wash,142 Heineberg Drive,Colchester,5446,1227,2,chain+street+zip,5.0,Northeast,VT,1,41,4.2,0,2,Flex,https://seawaycarwash.com/,"Seaway Car Wash, 142 Heineberg Drive, Colchester, VT, 5446",44.534915,-73.249656
989.3,117.0,5.18,25.0,3408.42935,158.0,14.8989071,0.36,3.7,6,9.0,3.7,0.44,3.0,,1.78,,,12.0,65067.0,56282.0,FoamWorks Express,4780 Riverside Dr.,Macon,31201,513,7,chain+street+zip,2.0,South,GA,2,8,99.0,0,1,Express Tunnel,https://foamworkscarwash.com/,"FoamWorks Express, 4780 Riverside Dr., Macon, GA, 31201",32.8403175,-83.6252419
926.2,115.0,12.81,64.0,3248.717289,146.0,16.70491803,0.62,4.4,121,8.0,3.7,0.33,93.0,,0.19,,,7.0,332687.91,294734.0,Elks Edge,547 CC Camp Rd,Elkin,28621,465,1,chain+street+zip,2.0,South,NC,2,21,99.0,2,1,Express Tunnel,https://www.elksedgecarwash.com/,"Elks Edge, 547 CC Camp Rd, Elkin, NC, 28621",36.278909,-80.8335509
1096.2,111.0,8.96,45.0,3271.790625,158.0,17.51502732,0.47,4.0,2,4.0,4.7,0.62,10.0,,0.41,3.02,2.0,3.0,93540.92,80302.0,Pirates Cove,110 Mollie Drive,Goldsboro,27534,1107,1,chain+street+zip,2.0,South,NC,2,21,99.0,0,2,Mobile,https://www.piratescoveresort.com/,"Pirates Cove, 110 Mollie Drive, Goldsboro, NC, 27534",35.3392525,-77.9190192
1003.3,118.0,5.39,40.0,3371.350856,174.0,19.01420765,0.13,3.0,1,12.0,4.6,0.22,559.0,,0.49,0.38,2.0,8.0,324972.43,280629.0,Papa Bear,3436 Clemson Blvd,Anderson,29621,1095,1,chain+street+zip,3.0,South,SC,2,34,99.0,2,1,Express Tunnel,https://papasbear.com/collections/all-products,"Papa Bear, 3436 Clemson Blvd, Anderson, SC, 29621",34.549285,-82.673258
441.9,52.0,0.0,0.0,3576.199797,246.0,14.08879781,1.05,3.9,38,7.0,5.0,0.86,30.0,,,,3.0,15.0,5547.95,4771.36,San Diego Car Care Costa Verde,12889 El Camino Real,San Diego,92130,1210,4,chain+street+zip,4.0,West,CA,4,3,99.0,0,1,Flex,https://sandiegocarcare.com/costa-verde/,"San Diego Car Care Costa Verde, 12889 El Camino Real, San Diego, CA, 92130",32.95192,-117.233639
1142.5,111.0,8.89,49.0,3242.629117,156.0,16.83743169,1.74,2.2,15,3.0,3.8,1.41,106.0,,2.06,0.55,1.0,6.0,120031.02,103285.0,Zips Express Car Wash,301 Grand Hill Pl,Holly Springs,27540,1642,3,chain+street+zip,4.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://zipscarwash.com/,"Zips Express Car Wash, 301 Grand Hill Pl, Holly Springs, NC, 27540",35.665662,-78.8439879
742.8,126.0,174.02,180.0,3594.183128,80.0,17.79043716,5.74,3.1,29,0.0,,,,,,,,0.0,159413.8,137222.0,True Clean,29002 Crossroads Ln,Evergreen,80439,1456,1,chain+street+zip,2.0,West,CO,4,4,99.0,1,2,Mobile,https://truecleanhome.com/pages/home,"True Clean, 29002 Crossroads Ln, Evergreen, CO, 80439",39.629809,-105.404861
1144.1,146.0,57.12,92.0,2925.422642,133.0,17.45136612,0.13,4.3,51,2.0,4.6,0.52,122.0,,1.14,,3.0,1.0,232004.0,202272.0,Wash Rite,75 Teletech Dr,Moundsville,26041,1560,7,chain+street+zip,2.0,South,WV,2,44,99.0,1,1,Express Tunnel,https://www.wash-riteunlimited.com/car-wash-services/,"Wash Rite, 75 Teletech Dr, Moundsville, WV, 26041",39.909698,-80.749338
770.6,120.0,126.49,154.0,2840.55075,120.0,19.68989071,0.21,3.0,20,4.0,4.5,0.51,160.0,,1.46,,,1.0,81887.87,72375.87,Great North Auto Wash,2701 N Lincoln Rd,Escanaba,49829,582,1,chain+street+zip,4.0,Midwest,MI,0,17,99.0,0,1,Express Tunnel,https://deltami.org/places/great-north-auto-wash/,"Great North Auto Wash, 2701 N Lincoln Rd, Escanaba, MI, 49829",45.7723372,-87.082274
1012.9,134.0,0.0,0.0,3627.248617,157.0,14.28005464,1.02,3.7,83,7.0,4.9,0.2,6982.0,0.76,3.69,3.22,,1.0,123231.84,107096.0,Woodies,24749 FL-54,Lutz,33559,1632,5,chain+street+zip,3.0,South,FL,2,7,0.76,1,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 24749 FL-54, Lutz, FL, 33559",28.1860383,-82.4067407
1133.9,131.0,47.81,100.0,2912.687769,141.0,18.2295082,0.71,3.6,12,3.0,3.9,0.83,26.0,,1.78,,1.0,3.0,46679.36,40664.69,Mistic Express Car Wash,750 Cincinnati Ave,Xenia,45385,1025,2,chain+street+zip,7.0,Midwest,OH,0,29,99.0,0,2,Flex,https://sswash.com/mistic-express-car-wash-detail-dayton-montgomery-county-ohio/,"Mistic Express Car Wash, 750 Cincinnati Ave, Xenia, OH, 45385",39.6758215,-83.9407085
1131.5,146.0,15.89,64.0,3306.8693,163.0,17.61748634,0.55,4.4,204,4.0,2.0,2.1,4.0,,2.06,3.68,3.0,6.0,139710.88,122017.0,TruShine,3033 Boones Creek Rd,Johnson City,37615,1463,4,chain+street+zip,5.0,South,TN,2,36,99.0,1,1,Express Tunnel,https://www.trushinecarwash.com/,"TruShine, 3033 Boones Creek Rd, Johnson City, TN, 37615",36.3855828,-82.4167647
1160.1,98.0,29.75,66.0,3222.875772,150.0,18.50300546,0.11,3.8,30,5.0,4.6,0.87,112.0,4.93,0.6,,2.0,13.0,72067.0,63343.0,Blue Iguana,1137 W Kearney St,Springfield,65803,88,6,chain+street+zip,2.0,Midwest,MO,0,18,4.93,0,1,Express Tunnel,https://blueiguana.com/,"Blue Iguana, 1137 W Kearney St, Springfield, MO, 65803",37.2414463,-93.3043131
1650.0,161.0,10.43,11.0,3364.627069,148.0,16.08142077,0.18,3.2,14,12.0,4.6,1.04,30.0,,,4.66,4.0,9.0,114280.38,99940.0,Cadillac Express Carwash,9520 Cullen Blvd,Houston,77051,257,7,chain+street+zip,2.0,South,TX,2,37,99.0,0,1,Express Tunnel,https://www.cadillacexpresscarwash.com/,"Cadillac Express Carwash, 9520 Cullen Blvd, Houston, TX, 77051",29.653275,-95.355952
975.2,108.0,41.65,102.0,2999.818081,136.0,19.20218579,0.13,3.2,165,4.0,,0.39,,,1.36,,2.0,7.0,133581.02,116932.0,Rolling Thunder,800 E Main St,Palmyra,17078,1200,1,chain+street+zip,2.0,Northeast,PA,1,32,99.0,1,3,Full Service,https://www.rollingthunder1.com/,"Rolling Thunder, 800 E Main St, Palmyra, PA, 17078",40.312286,-76.585289
887.9,119.0,0.0,0.0,3667.379147,165.0,17.25546448,0.49,5.0,1,13.0,4.9,0.46,95.0,,1.16,1.44,2.0,5.0,257589.66,224332.0,Woodies,5601 66th St N,St. Petersburg,33709,1628,7,chain+street+zip,3.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 5601 66th St N, St. Petersburg, FL, 33709",27.823254,-82.727867
585.6,52.0,0.28,1.0,3564.014197,176.0,14.0420765,0.02,4.6,10,11.0,4.0,0.65,4.0,2.38,1.48,0.32,2.0,14.0,57496.83,50100.0,Super Scrub Car Wash,4405 Pacific Ave,Stockton,95207,1375,1,chain+street+zip,3.0,West,CA,4,3,2.38,0,1,Express Tunnel,https://www.superstarcarwashaz.com/,"Super Scrub Car Wash, 4405 Pacific Ave, Stockton, CA, 95207",37.9878256,-121.3120066
1341.0,138.0,12.81,29.0,3380.423714,167.0,16.19945355,0.52,4.2,84,6.0,2.0,0.79,44.0,4.35,2.15,4.83,,18.0,204397.12,178311.0,Detricks,1036 Glenforest Rd,Myrtle Beach,29579,417,4,chain+street+zip,2.0,South,SC,2,34,4.35,1,1,Express Tunnel,https://www.detrickscarwashinc.com/,"Detricks, 1036 Glenforest Rd, Myrtle Beach, SC, 29579",33.7547889,-78.9634199
